vin,ign_on_time,trip_match_key,t,latitude,longitude,ems11_n,ems11_vs,ems12_brake_act,tcu12_cur_gr,ems11_tqi_acor,mdps_sas11_fs_sas_angle,sas_sas11_fs_sas_angle,sas11_fs_sas_speed,esp12_lat_accel,esp12_long_accel,ems12_pv_av_can
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.6,29.6,0.0,-10.23,-10.23,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,1,42.18141111,-71.86373888888889,2005.0,0.0,1.0,0.0,7.03125,29.6,29.6,0.0,0.25,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,2,42.18141111,-71.86373888888889,1882.0,0.0,1.0,0.0,7.03125,29.6,29.6,0.0,0.20999999999999908,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,3,42.18141111,-71.86373888888889,1799.0,0.0,1.0,0.0,7.421875,29.6,29.6,0.0,0.22000000000000064,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,4,42.18141111,-71.86373888888889,1756.0,0.0,1.0,0.0,7.421875,29.6,29.6,0.0,0.20999999999999908,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,5,42.18141111,-71.86373888888889,1719.0,0.0,1.0,0.0,7.421875,29.6,29.6,0.0,0.22000000000000064,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,6,42.18141111,-71.86373888888889,1669.0,0.0,1.0,0.0,7.8125,29.6,29.6,0.0,0.23000000000000043,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,7,42.18141111,-71.86373888888889,1658.0,0.0,1.0,0.0,7.03125,29.6,29.6,0.0,0.22000000000000064,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,8,42.18141111,-71.86373888888889,1631.0,0.0,1.0,0.0,7.421875,29.6,29.6,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,9,42.18141111,-71.86373888888889,1614.0,0.0,1.0,0.0,7.03125,29.6,29.6,0.0,0.28999999999999915,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,10,42.18141111,-71.86373888888889,1599.0,0.0,1.0,0.0,7.421875,29.6,29.6,0.0,0.2400000000000002,-0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,11,42.18141111,-71.86373888888889,1551.0,0.0,1.0,0.0,8.203125,29.6,29.6,0.0,0.2400000000000002,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,12,42.18141111,-71.86373888888889,1521.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.25,0.0600000000000005,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,13,42.18141111,-71.86373888888889,1518.0,0.0,1.0,0.0,8.984375,29.6,29.6,0.0,0.27999999999999936,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,14,42.18141111,-71.86373888888889,1531.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.28999999999999915,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,15,42.18141111,-71.86373888888889,1513.0,0.0,1.0,0.0,9.375,29.6,29.6,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,16,42.18141111,-71.86373888888889,1504.0,0.0,1.0,0.0,8.984375,29.6,29.6,0.0,0.25,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,17,42.18141111,-71.86373888888889,1509.0,0.0,1.0,0.0,8.984375,29.6,29.6,0.0,0.2599999999999998,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,18,42.18141111,-71.86373888888889,1517.0,0.0,1.0,0.0,8.984375,29.6,29.6,0.0,0.2400000000000002,0.07000000000000028,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,19,42.18141111,-71.86373888888889,1504.0,0.0,1.0,0.0,9.375,29.6,29.6,0.0,0.23000000000000043,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,20,42.18141111,-71.86373888888889,1528.0,0.0,1.0,0.0,8.984375,29.6,29.6,0.0,0.2599999999999998,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,21,42.18141111,-71.86373888888889,1526.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.2599999999999998,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,22,42.18141111,-71.86373888888889,1516.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.25,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,23,42.18141111,-71.86373888888889,1487.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.2699999999999996,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,24,42.18141111,-71.86373888888889,1447.0,0.0,1.0,0.0,8.59375,29.6,29.6,0.0,0.23000000000000043,0.03999999999999915,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,25,42.18141111,-71.86373888888889,1408.0,0.0,1.0,0.0,8.203125,29.6,29.6,0.0,0.1999999999999993,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,26,42.18141111,-71.86373888888889,1330.0,0.0,1.0,0.0,9.375,29.6,29.6,0.0,0.23000000000000043,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,27,42.18141111,-71.86373888888889,1308.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,28,42.18141111,-71.86373888888889,1282.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.25,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,29,42.18141111,-71.86373888888889,1267.0,0.0,1.0,0.0,9.765625,29.5,29.5,0.0,0.23000000000000043,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,30,42.18141111,-71.86373888888889,1245.0,0.0,1.0,0.0,10.15625,29.5,29.5,0.0,0.25,0.049999999999998934,0.0
